voyage_id	vessel_name	flag	place_of_slave_purchase	place_of_slave_disembarkation	total_embarked	total_disembarked	year_of_arrival	percent_men	percent_women	percent_children	captain's_name	resistance_label
100026	Desire	Great Britain	Providence Island	Boston	8	7	1638				Pierce, William	
100027	Rebecca	Great Britain	Jamaica, port unspecified	Boston	8	7	1706				Pitts, John	
100028	Dolphin	Great Britain	St. Kitts, port unspecified	Boston	8	7	1726				Millekin, Benjamin	
100029	Orange Tree	Great Britain	Speightstown	Boston	21	20	1733				Sheffield, John	
100031	Saint Anthoni	Spain / Uruguay	Jamaica, port unspecified	New York	44	44	1652				Peres, Silvester	
100032	Spera Mundi	Netherlands	Curacao	New York	5	4	1659				Pietersen, Jan	
100033	Musch [Sparrow}	Netherlands	Curacao	New York	40	40	1664				Pietersen Groot, Jan	
100034	Gideon	Netherlands	Curacao	New York	300	291	1664				Gilde, Simon Cornelissen	
100035	Berry	Great Britain	Jamaica, port unspecified	New York	48	46	1711				Scott, Walter	
100036	 	Great Britain	Jamaica, port unspecified	New York	92	90	1714				Vial, Nathaniel	
100037	William and Mary	Great Britain	Barbados, port unspecified	Delaware River	4	3	1761	0.33333334	0	0.6666667	Nicholson, George	
100039	Molly	Great Britain	Barbados, port unspecified	Charleston	100	100	1752	0.48	0.2	0.32	Watts, Richard	
100040	Molly	Great Britain	Barbados, port unspecified	Charleston	12	11	1753				Watts	
100044	Nancy	Great Britain	Kingston	South Carolina, port unspecified	11	11	1765				Jardine, William	
100045	Vulcan	Great Britain	Kingston	South Carolina, port unspecified	5	5	1765				Barger, Nicholas	
100046	Ann	Great Britain	Jamaica, port unspecified	South Carolina, port unspecified	9	9	1765				Darrell, John	
100047	Free Bounty	Great Britain	Montego Bay	Charleston	4	3	1765				White, Thomas	
100048	Mars	Great Britain	Kingston	Savannah	35	34	1784				Bunner, George	
100049	Success	Great Britain	Kingston	Charleston	25	24	1784				Cruikshank, R	
100050	Nancy	Great Britain	Jamaica, port unspecified	Charleston	100	96	1783				Davis, Joseph	
100051	Rambler	Great Britain	Kingston	Charleston	20	19	1784				Dickenson, Vincent	
100052	Adventure	Great Britain	Kingston	Charleston	16	16	1784				Thomson, Robert	
100053	Neptune	Great Britain	Montego Bay	Charleston	15	15	1784				Thompson, Archibald	
100054	Hawke	Great Britain	Montego Bay	Charleston	5	3	1784				Kidd, George	
100055	Neptune	Great Britain	Kingston	Charleston	61	59	1784				Thompson, Archibald	
100056	Lovely Mary	Great Britain	Montego Bay	Charleston	5	5	1787				Brown, John	
100057	Little Peggy	Great Britain	Montego Bay	Brunswick	1	1	1788				Duncan, George	
100058	Prudent Betty	Great Britain	Barbados, port unspecified	Charleston	11	10	1717				Eason, Will	
100059	Morehampton	Great Britain	Barbados, port unspecified	Charleston	43	42	1717				Yewing, Wilt	
