voyage_id,vessel_name,flag,place_of_slave_purchase,place_of_slave_disembarkation,total_embarked,total_disembarked,year_of_arrival,percent_men,percent_women,percent_children,captain's_name,resistance_label,sources
971,Fenix (a) Phoenix,Spain / Uruguay,"Africa., port unspecified",New Orleans,95,82,1830,,,,"Torre, Francisco de la<br/> Torre, Pablo de la",,"[u'PP,1845,XLIX:593-633<>Great Britain, <i>Parliamentary Papers</i>:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 1816, VII 1823, XIX 1825, XXVII, XXIX  1826, XXIX 1826-7, XXII, XXVI 1828, XXVI 1829, XXVI  1830, X 1831, XIX 1831-32, XLVII 1842, XLIV 1845,XLIX 1847-8, XXII 1852-3, XXXIX', u'AHNM, Estado, leg. 8033, 28<><i>Archivo Hist\xf3rico Nacional</i> (Madrid, Spain)', u'NARA, Atlanta, RG60,Box4,""Feniz""<><i>National Archives Record Administration, Southeast Region</i> (Atlanta, Georgia, USA)']"
4362,Wildfire,U.S.A.,Congo River,Key West,650,507,1860,,,,"Stanhope, William",,"[u'IUP,ST,47/B/107<>Great Britain, <i>Irish University Press Series of British Parliamentary Papers: Slave Trade</i>, vols. 1-90 (Shannon, 1969-74).', u'Howard,214-62<>Howard, Warren S. <i>American Slavers and the Federal Law, 1837-1862</i> (Berkeley, 1963).', u'HED,36-2,7:450,517<>United States Congress, <i>House Executive Document</i>, 27-1, 34; 30-2, 671; 35-2, 104; 36-2, 7.', u'FO84/1086,Archibald,59.12.15<><p><em>BNA</em> (Kew) British National Archives, Foreign Office</p>', u'IUP,ST,47/A/21,22<>Great Britain, <i>Irish University Press Series of British Parliamentary Papers: Slave Trade</i>, vols. 1-90 (Shannon, 1969-74).', u""HarpersWeekly,60.06.02.<><p><em>Harper's Weekly</em></p>""]"
4363,Bogota,France,Whydah,Key West,418,411,1860,,,,,,"[u'HED,36-2,7:450,517,621<>United States Congress, <i>House Executive Document</i>, 27-1, 34; 30-2, 671; 35-2, 104; 36-2, 7.', u'Howard,214-62<>Howard, Warren S. <i>American Slavers and the Federal Law, 1837-1862</i> (Berkeley, 1963).', u'IUP,ST,47/A/21,22<>Great Britain, <i>Irish University Press Series of British Parliamentary Papers: Slave Trade</i>, vols. 1-90 (Shannon, 1969-74).']"
4364,William,U.S.A.,Congo River,Key West,744,513,1860,,,,,,"[u'HED,36-2,7:454,517<>United States Congress, <i>House Executive Document</i>, 27-1, 34; 30-2, 671; 35-2, 104; 36-2, 7.', u'Howard,214-62<>Howard, Warren S. <i>American Slavers and the Federal Law, 1837-1862</i> (Berkeley, 1963).', u'IUP,ST,47/A/16,21,22<>Great Britain, <i>Irish University Press Series of British Parliamentary Papers: Slave Trade</i>, vols. 1-90 (Shannon, 1969-74).']"
4974,Wanderer,U.S.A.,Congo River,"Georgia, port unspecified",487,407,1858,,,,"Corrie, William G.<br/> Farnum, Charles Egbert<br/> Brown, Nicholas",,"[u'Jordan, 272-90<><p>Jordan, Jim ""Charles Augustus Lafayette Lamar and the Movement to Reopen the African Slave Trade"", <em>Georgia Historical Quarterly</em>, 93 (2009): 264-266</p>', u'ADM123/179,Grey,59.11.04,enc<><p><em>British National Archives</em>&nbsp;(Kew), Admiralty</p>', u'Howard,214-62<>Howard, Warren S. <i>American Slavers and the Federal Law, 1837-1862</i> (Berkeley, 1963).', u'Wanderer logbook<><i>Emory University, Robert W. Woodruff Library, Special Collections Department</i> (Atlanta, Georgia, USA) Mss 172, Wanderer (Ship) Records, Logbook of the yacht \u201cWanderer\u201d', u'FO313/64,p.76<><p><em>BNA</em> (Kew) British National Archives, Foreign Office</p>']"
5050,Isabelita,,"Africa., port unspecified","Georgia, port unspecified",112,95,1818,,,,"Freire, Francisco<br/> Moore",,"[u'Catterall,III,11<><p>Catterall, Helen Tunnicliff, <em>Judicial Cases Concerning American Slavery and the Negro</em> (Washington, DC., 1926-1937)</p>', u'ANC,Fomento,86,3506<><p>Archivo Nacional de Cuba, Junta de Fomento (Havana, Cuba)</p>']"
7632,Africa,U.S.A.,Congo River,Charleston,326,307,1808,,,,"Connelly, John<br/> Connelly, Jeremiah",,"[u'Donnan,IV,531,551-70<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>', u'PP,1813-14,XII:325<>Great Britain, <i>Parliamentary Papers</i>:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 1816, VII 1823, XIX 1825, XXVII, XXIX  1826, XXIX 1826-7, XXII, XXVI 1828, XXVI 1829, XXVI  1830, X 1831, XIX 1831-32, XLVII 1842, XLIV 1845,XLIX 1847-8, XXII 1852-3, XXXIX', u'LList, 7 Feb 1808<><i>Lloyds\u2019 Lists (1741, 1744, 1747-53, 1755, 1757-58, 1760-77, 1779-1808)</i>', u'AfricanInstit, Eighth, 68<>African Institution, <i> Eighth Report of the Directors of the African Institution</i> (London, 1814).', u'Catterall,I:28<><p>Catterall, Helen Tunnicliff, <em>Judicial Cases Concerning American Slavery and the Negro</em> (Washington, DC., 1926-1937)</p>', u'Acton,2:2-4<>Great Britain, High Court of Appeals for Prizes, <i>Reports of Cases argued and determined before the most noble and right honorable the Lords Commissioners of Appeals in prize causes</i>:<i> from June 12, 1809, to August 15, 1810</i>, by Thomas Harmon Acton, 2 vols. (Boston, 1853).', u'McMillin<>McMillin, James A., <i>The Final Victims: The Foreign Slave Trade to North America, 1783-1810</i> (Columbia, SC., 2004), CD-ROM insert.', u'PP,1825,XXV,p.216<>Great Britain, <i>Parliamentary Papers</i>:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 1816, VII 1823, XIX 1825, XXVII, XXIX  1826, XXIX 1826-7, XXII, XXVI 1828, XXVI 1829, XXVI  1830, X 1831, XIX 1831-32, XLVII 1842, XLIV 1845,XLIX 1847-8, XXII 1852-3, XXXIX']"
9661,Thomas and Susannah,Great Britain,Calabar,"Maryland, port unspecified",251,174,1689,,,,"Everard, Thomas",,"[u'T70/915<><p><em>British National Archive</em> (Kew) Treasury</p>', u'Walsh Maryland Database<>Walsh, Lorena, Database of slave trading voyages to Maryland']"
9835,Speedwell,Great Britain,Gambia,"Virginia, port unspecified",233,206,1688,,,,"Goodhand, Marmaduke",,"[u'T70/943,35<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/1222,147<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/50,57<><p><em>British National Archive</em> (Kew) Treasury</p>']"
9863,Speedwell,Great Britain,Gambia,"Maryland, port unspecified",217,192,1686,0.80184,0.17051,0.02765,"Goodhand, Marmaduke",,"[u'T70/11,59<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/942,61<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/966,2<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/50,6<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/942<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/914<><p><em>British National Archive</em> (Kew) Treasury</p>', u'T70/61,2-3<><p><em>British National Archive</em> (Kew) Treasury</p>', u'CO388/10<><p><em>British National Archives</em> (Kew) Colonial Office</p>', u'Donnan,IV,12<><p>Donnan, Elizabeth (ed.),&nbsp;<em>Documents Illustrative of the Slave Trade to the Americas</em> , 4 vols. (Washington, DC, 1930-35)</p>']"
